staid,DTW_BGS,X,Y
T595,14.01,399732.7879,4061745.843
T596,1.52,399047.7793,4062304.859
T597,2.28,400011.7884,4061945.841
T598,3.11,398595.7711,4062950.874
T599,14.14,398005.7541,4064409.899
T600,4.59,399315.7608,4065067.889
T601,10.38,397899.7382,4066124.921
T602,12.3,397708.7335,4066428.927
T603,2.29,392690.7054,4087086.586
T604,2.47,394477.7152,4079748.331
T606,9.88,379575.3977,4144090.608
T608,19,394232.696,4073833.166
T609,30.75,394446.6978,4073459.151
T610,19.32,394470.6981,4073429.15
